"Gini Coefficient*, All Counties in the United States, 2006-2010",,
,,
,,
Geography,Gini Coefficient Estimate,Margin of Error
"Knox County, Illinois",0.433,0.016
"Lake County, Illinois",0.468,0.005
"LaSalle County, Illinois",0.409,0.012
"Lawrence County, Illinois",0.436,0.028
"Lee County, Illinois",0.419,0.018
"Livingston County, Illinois",0.41,0.017
"Logan County, Illinois",0.405,0.015
"McDonough County, Illinois",0.462,0.018
"McHenry County, Illinois",0.386,0.006
"McLean County, Illinois",0.43,0.009
"Macon County, Illinois",0.452,0.012
"Macoupin County, Illinois",0.401,0.012
"Madison County, Illinois",0.427,0.008
"Marion County, Illinois",0.428,0.016
"Marshall County, Illinois",0.4,0.019
"Mason County, Illinois",0.424,0.019
"Massac County, Illinois",0.396,0.019
"Menard County, Illinois",0.377,0.014
"Mercer County, Illinois",0.383,0.014
"Monroe County, Illinois",0.386,0.017
"Montgomery County, Illinois",0.444,0.024
"Morgan County, Illinois",0.43,0.027
"Moultrie County, Illinois",0.397,0.023
"Ogle County, Illinois",0.376,0.01
"Peoria County, Illinois",0.474,0.013
"Perry County, Illinois",0.395,0.017
"Piatt County, Illinois",0.384,0.034
"Pike County, Illinois",0.4,0.016
"Pope County, Illinois",0.362,0.03
"Pulaski County, Illinois",0.48,0.025
"Putnam County, Illinois",0.38,0.027
"Randolph County, Illinois",0.386,0.012
"Richland County, Illinois",0.442,0.029
"Rock Island County, Illinois",0.441,0.01
