Date,Data,Expected,Detection
05May13,4,3.607,0.476
04May13,1,3.714,0.919
03May13,3,3.821,0.708
02May13,1,4.071,0.932
01May13,3,4.25,0.783
30Apr13,1,4.321,0.944
29Apr13,1,4.321,0.766
28Apr13,8,4.357,0.068
27Apr13,2,4.143,0.758
26Apr13,4,4.214,0.509
25Apr13,6,4.25,0.258
24Apr13,2,4.214,0.806
23Apr13,5,4.286,0.388
22Apr13,4,4.464,0.611
21Apr13,3,4.357,0.765
20Apr13,1,4.357,0.913
19Apr13,5,4.429,0.429
18Apr13,3,4.5,0.765
17Apr13,3,4.5,0.763
16Apr13,3,4.536,0.752
15Apr13,4,4.536,0.585
14Apr13,5,4.571,0.441
13Apr13,4,4.714,0.685
12Apr13,1,4.857,0.952
11Apr13,3,5.107,0.797
10Apr13,4,5.214,0.691
09Apr13,4,5.179,0.645
08Apr13,4,5.179,0.512
07Apr13,7,5.214,0.256
06Apr13,5,5.357,0.556
05Apr13,5,5.357,0.524
04Apr13,4,5.143,0.408
03Apr13,6,5,0.155
02Apr13,8,4.786,0.072
01Apr13,6,4.929,0.231
31Mar13,10,4.929,0.035
30Mar13,2,5.071,0.906
29Mar13,5,5.143,0.612
28Mar13,0,5.036,0.5
27Mar13,4,5.036,0.657
26Mar13,6,4.964,0.364
25Mar13,3,5.25,0.773
24Mar13,5,5.321,0.539
23Mar13,6,5.25,0.447
22Mar13,2,5.321,0.874
21Mar13,3,5.214,0.75
20Mar13,5,5.214,0.531
19Mar13,5,5.464,0.569
18Mar13,4,5.321,0.616
17Mar13,6,5.571,0.474
16Mar13,4,5.571,0.656
15Mar13,2,5.393,0.501
14Mar13,7,5.143,0.079
13Mar13,8,5.036,0.044
12Mar13,11,5.071,0.044
11Mar13,7,5.143,0.271
10Mar13,6,5.214,0.393
09Mar13,5,5.25,0.445
08Mar13,6,5.214,0.366
07Mar13,8,5.536,0.253
06Mar13,6,5.643,0.505
05Mar13,2,5.571,0.855
04Mar13,2,5.643,0.844
03Mar13,4,5.75,0.678
02Mar13,6,5.857,0.496
01Mar13,5,5.786,0.601
